Node,brown_pri,brown_sec,brown_col_num,brown_light_R,brown_light_G,brown_light_B,brown_med_R,brown_med_G,brown_med_B,brown_dark_R,brown_dark_G,brown_dark_B,hazgre_pri,hazgre_sec,hazgre_col_num,hazgre_light_R,hazgre_light_G,hazgre_light_B,hazgre_med_R,hazgre_med_G,hazgre_med_B,hazgre_dark_R,hazgre_dark_G,hazgre_dark_B,yelbei_pri,yelbei_sec,yelbei_col_num,yelbei_light_R,yelbei_light_G,yelbei_light_B,yelbei_med_R,yelbei_med_G,yelbei_med_B,yelbei_dark_R,yelbei_dark_G,yelbei_dark_B,gray_pri,gray_sec,gray_col_num,gray_light_R,gray_light_G,gray_light_B,gray_med_R,gray_med_G,gray_med_B,gray_dark_R,gray_dark_G,gray_dark_B,blue_pri,blue_sec,blue_col_num,blue_light_R,blue_light_G,blue_light_B,blue_med_R,blue_med_G,blue_med_B,blue_dark_R,blue_dark_G,blue_dark_B
1,l,d,3,73.9000215,56.740236,44.5737124,64.9598569,48.3876858,38.0918621,57.8219841,40.5110017,29.841452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,m,3,72.7815355,54.6756568,41.7451635,64.4024193,47.1752583,36.0917567,59.2562154,40.4213395,28.3455087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,d,d,3,72.8200651,54.7059507,41.763834,64.4230784,47.1924964,36.1021506,59.2541335,40.4230694,28.343303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d,d,3,116.547889,87.7299511,60.8875178,99.9518825,73.007227,51.0469335,85.6509995,58.64572,36.7678674,,,,,,,,,,,,,,,,,,,,,,,,,m,m,3,138.03352,133.019214,123.289812,119.127981,112.664514,102.620237,101.767645,94.2712107,84.506437,,,,,,,,,,,,
5,m,d,3,117.235963,88.3929052,61.4202199,100.113991,73.2006482,50.9053304,85.4537533,58.7213574,37.0049136,,,,,,,,,,,,,,,,,,,,,,,,,m,d,3,138.960334,134.35407,125.12097,119.883329,113.629237,103.9533,102.502351,95.0649547,85.5451915,,,,,,,,,,,,
6,m,d,3,121.878539,92.7967225,64.4498376,104.010466,76.5727992,52.5266896,89.4523567,62.2321478,39.5052029,,,,,,,,,,,,,,,,,,,,,,,,,m,l,3,140.82761,136.264528,127.550984,122.135227,115.620196,105.502937,104.231176,96.7288247,86.8515236,,,,,,,,,,,,
7,m,d,3,122.10145,92.9882599,64.5191909,104.161272,76.6592302,52.4214472,89.4279271,62.2080461,39.4159672,,,,,,,,,,,,,,,,,,,,,,,,,m,d,3,140.787129,136.335685,127.405464,122.032932,115.720783,105.46097,104.22201,96.9329346,86.9269797,,,,,,,,,,,,
8,m,d,3,124.928949,94.8349753,64.4207733,105.825217,77.6427536,51.3960944,90.1139833,62.6012451,38.8669822,,,,,,,,,,,,,m,l,3,181.194553,146.770316,82.9687579,163.992457,128.5738,67.3446027,126.634752,100.432161,53.3534022,m,l,3,144.942271,141.241833,129.762489,125.318885,120.419787,108.760554,107.519765,101.684212,90.5289067,,,,,,,,,,,,
9,d,d,3,125.959612,95.9505303,65.2587792,106.862473,78.6041073,51.9301961,90.7868099,63.2677166,39.1990312,,,,,,,,,,,,,d,m,2,,,,163.607996,127.996247,67.1420828,126.673972,100.291859,53.2942602,m,l,3,144.984347,141.300701,129.594926,125.524115,120.654109,108.913464,108.243097,102.444163,91.0922228,,,,,,,,,,,,
10,l,d,3,142.523337,109.248673,72.2550465,122.134152,89.7967093,56.6029708,102.401683,71.4504309,42.1285131,,,,,,,,,,,,,d,m,2,,,,155.672248,117.029608,57.2184112,117.576113,90.8464383,45.8162388,,,,,,,,,,,,,,,,,,,,,,,,
11,,,3,153.18753,119.816655,82.6068244,129.97575,97.9958671,65.5252979,110.129054,79.3704716,50.1860019,,,,,,,,,,,,,,,,,,,,,,,,,l,m,3,141.777663,141.085675,129.527046,119.7862,116.610947,106.472551,101.99105,97.1209626,86.0206892,,,,,,,,,,,,
12,d,d,3,118.451261,94.8199957,68.9327427,101.418627,78.0338558,53.9488432,84.6734997,62.2327427,40.4170925,,,,,,,,,,,,,,,,,,,,,,,,,m,d,1,,,,135.109563,128.933432,114.106398,,,,,,,,,,,,,,,
13,m,d,3,103.59502,85.4763601,67.2813851,90.9597185,72.7162738,53.641819,79.7343235,62.4749267,43.8149166,,,,,,,,,,,,,d,m,3,185.032761,152.846331,97.3393466,170.829112,136.934578,82.4327292,145.752128,116.025905,66.9196089,m,d,3,165.937224,159.090551,141.282058,147.155639,141.410664,125.19797,138.544401,133.122907,116.542428,,,,,,,,,,,,
14,l,d,3,100.692054,82.6650475,65.3137725,88.9656861,70.6101592,52.0652532,78.1440533,60.7749375,42.509003,,,,,,,,,,,,,d,m,2,,,,170.33591,136.647974,82.8871397,145.196257,115.577622,67.3759631,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,m,l,3,181.840607,147.52114,83.4414841,164.184688,128.862577,67.4458626,126.615142,100.502312,53.3829731,m,m,3,145.358616,141.728836,130.094379,125.56216,120.797258,109.031424,107.505231,101.804372,90.6263989,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,d,3,145.193786,141.593951,130.030361,125.440738,120.710757,108.961999,107.356983,101.691839,90.5266527,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,m,2,142.338829,141.342316,130.403916,118.4645405,117.240755,106.0182985,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,m,2,140.319047,140.0301,128.93997,116.753695,117.222082,105.9780425,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,m,2,152.747992,150.439045,142.023914,132.3048635,133.355629,124.9012655,,,,m,d,3,160,179.5,190,135.5,160.5,169,101.5,122,125
21,m,l,3,119.159891,85.2052345,53.0426614,96.7230999,67.6483291,41.4590526,83.1127656,54.867315,32.9359529,,,,,,,,,,,,,m,l,3,182.989097,150.330217,92.6371612,163.500407,127.012631,68.4787514,129.434515,101.202427,57.7911496,m,l,3,138.934867,135.024462,126.570053,120.976889,115.389851,104.481482,95.4683788,88.6729073,77.8347728,,,,,,,,,,,,
22,l,l,3,118.644006,84.4541279,52.190349,96.0378996,66.866585,40.8252533,82.7913798,54.4502357,32.5889876,,,,,,,,,,,,,,,,,,,,,,,,,m,m,3,139.71284,135.368485,126.661036,121.282483,115.188828,103.862306,95.5221795,88.2634503,77.1402726,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,m,3,165.679197,160.254316,147.766465,141.65602,131.055067,113.089012,108.23402,96.5757248,81.9434631,,,,,,,,,,,,
24,l,l,3,96.2203216,66.1271558,31.8932977,75.8506119,53.2826438,27.6310709,61.7015863,40.446066,19.9249165,,,,,,,,,,,,,m,l,3,200.535526,164.704289,114.82539,167.884725,127.368785,74.7058177,129.482369,100.689115,66.7130018,,,,,,,,,,,,,,,,,,,,,,,,
25,d,d,3,118.552254,92.8527097,68.3055646,103.004847,75.847086,52.5491948,84.8372406,59.0972203,37.9221943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,l,d,3,113.726951,89.669505,66.2166012,98.5009571,72.8079082,49.9553147,82.693849,58.194952,36.5085801,,,,,,,,,,,,,,,,,,,,,,,,,m,l,3,115.938143,113.181175,106.93682,98.7273101,95.2304382,85.21777,85.6945159,81.5396511,71.1348871,,,,,,,,,,,,
27,m,d,3,110.56291,88.8534251,67.5949452,95.252505,71.7088042,49.4474744,81.9037362,59.1121665,36.0093413,,,,,,,,,,,,,,,,,,,,,,,,,m,l,3,114.247422,111.207394,105.818032,100.164525,97.2378903,88.1824291,88.6680336,84.9531174,74.8930253,,,,,,,,,,,,
28,m,d,3,96.1750985,73.884822,50.9427868,83.7806012,62.090113,39.1073939,70.7768967,50.54692,27.6022419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,d,m,2,,,,88.1799455,64.9833352,41.48128743,72.9834976,51.2478,28.0016014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,l,m,3,111.054797,84.8875957,58.5330003,96.7078181,69.0022382,45.6854664,80.045429,54.1117789,34.7099755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,d,m,3,135.102727,106.077494,75.8957443,116.451826,88.9710502,63.9194463,108.849792,79.3613166,54.3707635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
