Rename, Pupil_type, Pupil_type_bin,Activity_type,Nocturnal,Crepuscular,Diurnal,Nocturnal_prop, Pupil_type_revised, Pupil_type_revised_bin,Region,Ethiopian,Oriental,Palearctic,Neotropical,Nearctic,Habitat,Habitat_num,Desert,Savanna,Forest,Rainforest,Forest_Rainforest,Mountains,Low_elevation_m,High_elevation_m,Mating,Coat_pattern,Flecks,Uniform,Stripes,Rosettes,Blotches,SBlotch,Black_body_morethaneye with 0/1,Black_tail_morethaneye with 0/1,Black_body_morethaneye,Black_tail_morethaneye,Nose_color,Nose_black,Nose_pink,Length_low_cm,Length_high_cm,Length_avg_cm,Skull_Length_mm,Hybridization,Ancient Hybridization
Acinonyx_jubatus,Round,2,Diurnal,0,0,1,0,Round,1,ethiopian,1,0,0,0,0,desert/savanna,2,1,1,0,0,0,0,,,promiscuous,Flecks,1,0,0,0,0,0,1,1,1,1,black,1,0,112,150,131,159.3,,
Caracal_aurata,Vertical,0,"Nocturnal, Crepuscular",1,1,0,2,Vertical,0,ethiopian,1,0,0,0,0,forest,1,0,0,1,0,1,0,,3600,NA,Flecks/Uniform,1,1,0,0,0,0,0,1,0,1,black/pink,1,1,61,102,81.5,111.94,,
Caracal_caracal,Subcircular,1,Nocturnal,1,0,0,3,Vertical,0,ethiopian,1,0,0,0,0,savanna/forest/mountains,3,0,1,1,0,1,1,,3000,promiscuous,Uniform,0,1,0,0,0,0,0,0,0,0,black/pink,1,1,62,91,76.5,110.92,"Leptailurus serval, Felis catus",
Catopuma_badia,Subcircular,1,Nocturnal,1,0,0,3,Vertical,0,oriental,0,1,0,0,0,forest,1,0,0,1,0,1,0,,,NA,Uniform,0,1,0,0,0,0,0,0,0,0,pink,0,1,53.3,67,60.15,,,
Catopuma_temminckii,Subcircular,1,"Diurnal, Crepuscular",0,1,1,0,Vertical,0,oriental,0,1,0,0,0,savanna/forest/rainforest,3,0,1,1,1,1,0,,3738,NA,Uniform/Flecks,1,1,0,0,0,0,0,1,0,1,pink,0,1,77,91,84,113.1,,
Felis_bieti,Vertical,0,"Nocturnal, Crepuscular",1,1,0,2,Vertical,0,palearctic,0,0,1,0,0,savanna/forest/mountains,3,0,1,1,0,1,1,,5000,promiscuous,Stripes,0,0,1,0,0,0,0,1,0,1,pink,0,1,77.5,84,80.75,,"Felis catus, felis sylvestris? felis lybica ornata?",
Felis_chaus_affinis,Vertical,0,"Diurnal, Nocturnal",1,0,1,2,Vertical,0,oriental,0,1,0,0,0,desert/savanna/forest/rainforest/mountains,5,1,1,1,1,1,1,,2500,promiscuous,Uniform,0,1,0,0,0,0,0,1,0,1,pink,0,1,,,,,,
Felis_chaus_chaus,Vertical,0,"Diurnal, Nocturnal",1,0,1,2,Vertical,0,palearctic,0,0,1,0,0,desert/savanna/forest/rainforest/mountains,5,1,1,1,1,1,1,,2500,promiscuous,Uniform,0,1,0,0,0,0,0,1,0,1,pink,0,1,55,94,74.5,96.8,Felis catus,Felis margarita
Felis_lybica_cafra,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,ethiopian,1,0,0,0,0,desert/savanna/forest/mountains,4,1,1,1,0,1,1,,,NA,Stripes,0,0,1,0,0,0,0,1,0,1,pink,0,1,,,,,Felis catus,
Felis_lybica_lybica,Vertical,0,Nocturnal,1,0,0,3,Vertical,0,ethiopian,1,0,0,0,0,desert/savanna/forest/mountains,4,1,1,1,0,1,1,,,NA,Stripes,0,0,1,0,0,0,0,1,0,1,pink,0,1,40.6,74,57.3,,Felis catus,
