Rename,brown_col_num,brown_pri_R,brown_pri_G,brown_pri_B,brown_sec_R,brown_sec_G,brown_sec_B,brown_ter_R,brown_ter_G,brown_ter_B,brown_qua_R,brown_qua_G,brown_qua_B
Panthera_tigris_tigris_corbetti,,,,,,,,,,,,,
Panthera_tigris_tigris_tigris,,,,,,,,,,,,,
Panthera_tigris_tigris_altaica,,,,,,,,,,,,,
Panthera_tigris_sondaica,,,,,,,,,,,,,
Panthera_tigris_tigris_amoyensis,,,,,,,,,,,,,
Panthera_tigris_tigris_jacksoni,,,,,,,,,,,,,
Panthera_uncia,,,,,,,,,,,,,
Panthera_pardus_orientalis,,,,,,,,,,,,,
Panthera_pardus_tulliana,,,,,,,,,,,,,
Panthera_pardus_fusca,,,,,,,,,,,,,
Panthera_leo_melanochaita,,,,,,,,,,,,,
Panthera_leo_persica,3,129,101,64,93,70,43,151,122,83,,,
Panthera_leo_leo,3,111,78,56,140,108,81,80,53,37,,,
Neofelis_nebulosa,3,102,65,35,120,87,57,112,80,61,,,
Neofelis_diardi,2,151,112,74,98,67,40,,,,,,
Felis_lybica_cafra,2,95,71,37,122,100,65,,,,,,
Felis_lybica_ornata,,,,,,,,,,,,,
Felis_bieti,,,,,,,,,,,,,
Felis_silvestris,,,,,,,,,,,,,
Felis_lybica_lybica,,,,,,,,,,,,,
Felis_margarita,,,,,,,,,,,,,
Felis_nigripes,,,,,,,,,,,,,
Felis_chaus_chaus,,,,,,,,,,,,,
Felis_chaus_affinis,,,,,,,,,,,,,
Prionailurus_planiceps,2,110,66,44,142,93,61,,,,,,
Prionailurus_bengalensis_bengalensis,3,73,43,8,55,29,5,96,58,12,,,
Prionailurus_bengalensis_iriomotensis,3,63,53,37,79,60,36,52,41,25,,,
Prionailurus_viverrinus,,,,,,,,,,,,,
Prionailurus_rubiginosus,3,129,98,67,108,81,50,85,59,37,,,
Otocolobus_manul,,,,,,,,,,,,,
Herpailurus_yagouaroundi,3,201,161,115,159,116,78,181,140,101,,,
Puma_concolor,4,82,64,44,116,92,65,100,78,54,134,107,78
Acinonyx_jubatus,3,117,77,31,129,91,45,92,55,17,,,
Lynx_pardinus,3,123,110,90,94,84,64,104,93,73,,,
Lynx_lynx,3,65,48,29,79,62,43,92,78,65,,,
Lynx_canadensis,2,76,55,43,73,54,41,,,,,,
Lynx_rufus,3,145,114,75,120,89,56,91,61,34,,,
Leopardus_jacobita,3,124,90,65,93,62,44,140,108,80,,,
Leopardus_guigna,2,84,56,35,117,85,60,,,,,,
Leopardus_geoffroyi,3,62,51,30,48,39,18,79,66,46,,,
Leopardus_tigrinus,2,81,57,31,73,50,23,,,,,,
Leopardus_wiedii,3,119,91,60,102,69,44,83,54,37,,,
Leopardus_pardalis_pardalis,3,75,51,31,90,66,44,101,75,51,,,
Leopardus_colocola_pajeros,3,106,86,67,100,78,50,127,114,103,,,
Leopardus_guttulus,2,84,65,46,60,45,30,,,,,,
Leptailurus_serval,3,58,39,24,42,26,14,69,46,27,,,
Caracal_aurata,,,,,,,,,,,,,
Caracal_caracal,3,120,88,69,90,64,49,63,42,31,,,
Pardofelis_marmorata,2,164,124,88,144,104,76,,,,,,
Catopuma_temminckii,3,100,85,62,91,70,46,118,100,74,,,
Catopuma_badia,,,,,,,,,,,,,
Prionailurus_javanensis,3,116,99,85,100,85,73,81,65,52,,,
Panthera_onca,,,,,,,,,,,,,
Prionodon_linsang,3,30,23,24,24,19,20,20,15,15,,,
