Rename,hazgre_col_num,hazgre_pri_R,hazgre_pri_G,hazgre_pri_B,hazgre_sec_R,hazgre_sec_G,hazgre_sec_B,hazgre_ter_R,hazgre_ter_G,hazgre_ter_B
Panthera_tigris_tigris_corbetti,,,,,,,,,,
Panthera_tigris_tigris_tigris,,,,,,,,,,
Panthera_tigris_tigris_altaica,,,,,,,,,,
Panthera_tigris_sondaica,2,113,99,62,91,78,50,,,
Panthera_tigris_tigris_amoyensis,,,,,,,,,,
Panthera_tigris_tigris_jacksoni,,,,,,,,,,
Panthera_uncia,3,116,130,116,76,84,72,35,39,33
Panthera_pardus_orientalis,3,111,103,73,134,124,91,79,73,54
Panthera_pardus_tulliana,,,,,,,,,,
Panthera_pardus_fusca,,,,,,,,,,
Panthera_leo_melanochaita,,,,,,,,,,
Panthera_leo_persica,,,,,,,,,,
Panthera_leo_leo,,,,,,,,,,
Neofelis_nebulosa,,,,,,,,,,
Neofelis_diardi,,,,,,,,,,
Felis_lybica_cafra,3,142,147,103,170,171,126,130,138,100
Felis_lybica_ornata,3,140,143,109,108,109,78,161,166,139
Felis_bieti,,,,,,,,,,
Felis_silvestris,2,108,103,68,145,137,98,,,
Felis_lybica_lybica,3,162,152,102,182,168,113,125,112,73
Felis_margarita,3,124,119,90,140,138,113,99,94,61
Felis_nigripes,2,169,186,155,83,98,71,,,
Felis_chaus_chaus,3,102,98,81,127,119,100,162,149,126
Felis_chaus_affinis,2,122,118,78,98,97,50,,,
Prionailurus_planiceps,,,,,,,,,,
Prionailurus_bengalensis_bengalensis,,,,,,,,,,
Prionailurus_bengalensis_iriomotensis,,,,,,,,,,
Prionailurus_viverrinus,3,99,86,63,121,113,93,112,101,80
Prionailurus_rubiginosus,2,180,166,119,122,105,49,,,
Otocolobus_manul,3,119,130,113,88,92,76,108,115,97
Herpailurus_yagouaroundi,,,,,,,,,,
Puma_concolor,,,,,,,,,,
Acinonyx_jubatus,,,,,,,,,,
Lynx_pardinus,3,107,104,80,124,120,92,127,122,97
Lynx_lynx,3,162,153,102,134,120,62,98,82,28
Lynx_canadensis,,,,,,,,,,
Lynx_rufus,,,,,,,,,,
Leopardus_jacobita,3,111,107,71,132,137,98,143,151,106
Leopardus_guigna,,,,,,,,,,
Leopardus_geoffroyi,3,86,90,38,124,140,74,164,186,125
Leopardus_tigrinus,,,,,,,,,,
Leopardus_wiedii,,,,,,,,,,
Leopardus_pardalis_pardalis,1,79,69,43,,,,,,
Leopardus_colocola_pajeros,,,,,,,,,,
Leopardus_guttulus,,,,,,,,,,
Leptailurus_serval,,,,,,,,,,
Caracal_aurata,,,,,,,,,,
Caracal_caracal,3,101,95,75,125,121,100,88,84,63
Pardofelis_marmorata,,,,,,,,,,
Catopuma_temminckii,,,,,,,,,,
Catopuma_badia,,,,,,,,,,
Prionailurus_javanensis,,,,,,,,,,
Panthera_onca,2,51,61,29,92,95,55,,,
Prionodon_linsang,,,,,,,,,,
