Rename,color
Panthera_tigris,hazgre+yelbei+grey+blue
Panthera_uncia,hazgre+grey+blue
Panthera_pardus,hazgre+yelbei+grey+blue
Panthera_leo,brown+yelbei+grey
Neofelis_nebulosa,brown+grey
Felis_bieti,grey+blue
Felis_silvestris,hazgre+grey+blue
Felis_margarita,hazgre+grey
Felis_nigripes,hazgre+yelbei
Felis_chaus,hazgre+grey
Prionailurus_planiceps,brown+grey
Prionailurus_bengalensis_bengalensis,brown+yelbei+grey
Prionailurus_bengalensis_iriomotensis,brown+yelbei
Prionailurus_viverrinus,hazgre+grey
Prionailurus_rubiginosus,brown+hazgre+yelbei+grey
Otocolobus_manul,hazgre+yelbei+grey
Herpailurus_yagouaroundi,brown+grey
Puma_concolor,brown+yelbei+grey
Acinonyx_jubatus,brown+yelbei
Lynx_pardinus,brown+hazgre+yelbei+grey
Lynx_lynx,brown+hazgre+yelbei+grey
Lynx_canadensis,brown+yelbei
Lynx_rufus,brown+grey+blue
Leopardus_jacobita,brown+hazgre
Leopardus_guigna,brown
Leopardus_geoffroyi,brown+hazgre+grey
Leopardus_tigrinus,brown
Leopardus_wiedii,brown
Leopardus_pardalis_pardalis,brown+hazgre+grey
Leopardus_colocola_pajeros,brown+grey
Leptailurus_serval,brown+grey
Caracal_aurata,grey
Caracal_caracal,brown+hazgre+grey
Pardofelis_marmorata,brown
Catopuma_temminckii,brown+grey
Catopuma_badia,yelbei
Prionailurus_javanensis,brown
Panthera_onca,hazgre+yelbei+grey
Prionodon_linsang,brown
Crocuta_crocuta,brown
Genetta_genetta,brown
Vulpes_zerda,brown
